PermitNum,AppliedDate,PermitType,PermitTypeMapped,PermitClass,PermitClassGroup,PermitClassMapped,WorkClass,Description
BP2000-10899,2000/10/06,Commercial / Multi Family Project,Building,3204 - Warehouse/Office,Commercial,Non-Residential,New,New Warehouse Building
BP2000-10910,2000/10/06,Commercial / Multi Family Project,Building,3204 - Warehouse/Office,Commercial,Non-Residential,New,New Warehouse/Office Building
BP2000-11007,2000/10/11,Commercial / Multi Family Project,Building,3109 - Retail Food Store,Commercial,Non-Residential,New,New Retail Store
BP2000-11124,2000/10/13,Commercial / Multi Family Project,Building,3299 - Storage/Warehouse Misc.,Commercial,Non-Residential,New,Temporary Tent Structure
BP2000-11149,2000/10/13,Commercial / Multi Family Project,Building,3204 - Warehouse/Office,Commercial,Non-Residential,New,
BP2000-11294,2000/10/17,Commercial / Multi Family Project,Building,3608 - Restaurant,Commercial,Non-Residential,New,new resturant
BP2000-11320,2000/10/18,Commercial / Multi Family Project,Building,3299 - Storage/Warehouse Misc.,Commercial,Non-Residential,New,Temporary Storage Facility
BP2000-11331,2000/10/18,Commercial / Multi Family Project,Building,6199 - Federal/Commercial Misc.,Government,Non-Residential,New,Above ground storage tank
BP2000-11321,2000/10/18,Commercial / Multi Family Project,Building,5303 - Special Care Facility,Institutional,Non-Residential,New,New Nursing Home
BP2000-11413,2000/10/20,Commercial / Multi Family Project,Building,5303 - Special Care Facility,Institutional,Non-Residential,New,New Two-Storey 5 Building Special Care Facility
BP2000-11415,2000/10/20,Commercial / Multi Family Project,Building,3204 - Warehouse/Office,Commercial,Non-Residential,New,New Warehouse/Office Facility
BP2000-11414,2000/10/20,Commercial / Multi Family Project,Building,5302 - Senior Citizen Homes,Institutional,Non-Residential,New,new living assisted complex buildings 1 & 2
BP2000-11526,2000/10/24,Commercial / Multi Family Project,Building,3204 - Warehouse/Office,Commercial,Non-Residential,New,New construction - Office / Warehouse
BP2000-11558,2000/10/24,Commercial / Multi Family Project,Building,6105 - Public Works,Government,Non-Residential,New,Temporary trailer
BP2000-11527,2000/10/24,Commercial / Multi Family Project,Building,3204 - Warehouse/Office,Commercial,Non-Residential,New,New constuction - Office / Warehouse
BP2000-11609,2000/10/25,Commercial / Multi Family Project,Building,3599 - Recreation Misc.,Commercial,Non-Residential,New,Special Event Tent
BP2000-11652,2000/10/26,Commercial / Multi Family Project,Building,2310 - Terminal-Train,Industrial,Non-Residential,New,new
BP2000-11740,2000/10/27,Commercial / Multi Family Project,Building,3301 - Car Wash,Commercial,Non-Residential,New,New car wash & additon to existing repair bay
BP2000-11737,2000/10/27,Commercial / Multi Family Project,Building,5299 - Medical Misc.,Institutional,Non-Residential,New,New Health Centre
BP2000-11744,2000/10/30,Commercial / Multi Family Project,Building,3106 - Retail Shop,Commercial,Non-Residential,New,new retail building
BP2000-11812,2000/10/31,Commercial / Multi Family Project,Building,3106 - Retail Shop,Commercial,Non-Residential,New,New Building
BP2000-12094,2000/11/08,Commercial / Multi Family Project,Building,2379 - Indust/Communication Misc.,Industrial,Non-Residential,New,Communications Tower & Building
BP2000-12097,2000/11/08,Commercial / Multi Family Project,Building,3402 - Office,Commercial,Non-Residential,New,Temporary Sales Office
BP2000-12117,2000/11/09,Commercial / Multi Family Project,Building,3608 - Restaurant,Commercial,Non-Residential,New,New Restaurant w/ Drive-Thru
BP2000-12116,2000/11/09,Commercial / Multi Family Project,Building,3106 - Retail Shop,Commercial,Non-Residential,New,Temporary trailer
BP2000-12220,2000/11/13,Commercial / Multi Family Project,Building,2199 - Indust/Manufacture Misc.,Industrial,Non-Residential,New,New Industrial Building
BP2000-12268,2000/11/14,Commercial / Multi Family Project,Building,3611 - Restaurant/Drinking Establishment,Commercial,Non-Residential,New,
BP2000-12291,2000/11/15,Commercial / Multi Family Project,Building,6105 - Public Works,Government,Non-Residential,New,
BP2000-12280,2000/11/15,Commercial / Multi Family Project,Building,3607 - Hotel/Motel,Commercial,Non-Residential,New,new 106-room hotel
BP2000-12320,2000/11/15,Commercial / Multi Family Project,Building,3204 - Warehouse/Office,Commercial,Non-Residential,New,New Office/Warehouse
BP2000-12308,2000/11/15,Commercial / Multi Family Project,Building,6308 - Transportation,Government,Non-Residential,New,New construction for public use light rail transit station
BP2000-12338,2000/11/16,Commercial / Multi Family Project,Building,2203 - Tower,Industrial,Non-Residential,New,Installation of communications tower & cabinet
BP2000-12530,2000/11/21,Commercial / Multi Family Project,Building,2199 - Indust/Manufacture Misc.,Industrial,Non-Residential,New,New Industrial Building
BP2000-12738,2000/11/28,Commercial / Multi Family Project,Building,3204 - Warehouse/Office,Commercial,Non-Residential,New,New industrial building
BP2000-12782,2000/11/28,Commercial / Multi Family Project,Building,3611 - Restaurant/Drinking Establishment,Commercial,Non-Residential,New,New Restaurant/Drinking Establishment
BP2000-12936,2000/12/04,Commercial / Multi Family Project,Building,3507 - Community Centre,Commercial,Non-Residential,New,New Commercial Building
BP2000-12980,2000/12/05,Commercial / Multi Family Project,Building,"5111 - School, Separate",Institutional,Non-Residential,New,
BP2000-12981,2000/12/05,Commercial / Multi Family Project,Building,"5111 - School, Separate",Institutional,Non-Residential,New,
BP2000-12996,2000/12/06,Commercial / Multi Family Project,Building,3402 - Office,Commercial,Non-Residential,New,2 New Temporary Office Buildings
BP2000-13168,2000/12/12,Commercial / Multi Family Project,Building,3204 - Warehouse/Office,Commercial,Non-Residential,New,New Warehouse/Office
BP2000-13167,2000/12/12,Commercial / Multi Family Project,Building,3204 - Warehouse/Office,Commercial,Non-Residential,New,New Industrial Building
BP2000-13469,2000/12/22,Commercial / Multi Family Project,Building,5302 - Senior Citizen Homes,Institutional,Non-Residential,New,Show Suite
BP2000-13481,2000/12/22,Commercial / Multi Family Project,Building,3611 - Restaurant/Drinking Establishment,Commercial,Non-Residential,New,Temporary Event Tent
BP2000-13463,2000/12/22,Commercial / Multi Family Project,Building,3402 - Office,Commercial,Non-Residential,New,New Office Building
BP2000-13496,2000/12/27,Commercial / Multi Family Project,Building,3106 - Retail Shop,Commercial,Non-Residential,New,New commercial building
