PermitNum,AppliedDate,PermitType,PermitTypeMapped,PermitClass,PermitClassGroup,PermitClassMapped,WorkClass,Description
BP2007-03359,2007/03/20,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2006-15549,2006/09/08,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2007-05150,2007/04/19,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2007-06064,2007/05/02,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2006-18114,2006/10/24,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2007-00193,2007/01/08,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2006-13464,2006/08/04,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2006-19163,2006/11/14,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2007-04639,2007/04/11,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2007-01534,2007/02/08,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2006-10954,2006/06/28,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2006-13798,2006/08/10,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2007-04581,2007/04/10,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2006-16288,2006/09/20,Demolition,Demolition,1406 - Duplex (Up/Down),Two Family,Residential,Demolition,
BP2007-05191,2007/04/19,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2006-08495,2006/05/19,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2006-09900,2006/06/13,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2006-08752,2006/05/24,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2006-18196,2006/10/25,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2007-05004,2007/04/17,Demolition,Demolition,5299 - Medical Misc.,Institutional,Non-Residential,Demolition,
BP2006-17311,2006/10/10,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2007-04087,2007/03/30,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2007-02859,2007/03/09,Demolition,Demolition,3402 - Office,Commercial,Non-Residential,Demolition,
BP2006-12488,2006/07/20,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2006-17330,2006/10/10,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2006-08755,2006/05/24,Demolition,Demolition,1606 - Ths Townhouse,Townhouse,Residential,Demolition,
BP2006-12097,2006/07/14,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2007-03573,2007/03/22,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2006-13354,2006/08/02,Demolition,Demolition,9999 - Unspecified,Unspecified,Unspecified,Demolition,
BP2006-16729,2006/09/28,Demolition,Demolition,3402 - Office,Commercial,Non-Residential,Demolition,
BP2006-15716,2006/09/12,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2006-08479,2006/05/19,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2006-12540,2006/07/21,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2006-10213,2006/06/16,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2006-13845,2006/08/11,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2006-13877,2006/08/11,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2006-17182,2006/10/06,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2007-02088,2007/02/23,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2007-05196,2007/04/19,Demolition,Demolition,1506 - Apartment,Apartment,Residential,Demolition,
BP2006-17943,2006/10/19,Demolition,Demolition,1199 -  Accessory Building,Single Family,Residential,Demolition,
BP2006-20741,2006/12/21,Demolition,Demolition,3204 - Warehouse/Office,Commercial,Non-Residential,Demolition,
BP2006-08476,2006/05/19,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2006-09132,2006/05/30,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2006-13783,2006/08/10,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2006-19082,2006/11/10,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2006-11582,2006/07/07,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2007-00231,2007/01/09,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2006-13843,2006/08/11,Demolition,Demolition,1506 - Apt Apartment,Apartment,Residential,Demolition,
BP2007-05798,2007/04/30,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2006-08756,2006/05/24,Demolition,Demolition,1606 - Ths Townhouse,Townhouse,Residential,Demolition,
BP2006-08475,2006/05/19,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2006-13186,2006/07/31,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2006-15528,2006/09/07,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2006-10517,2006/06/21,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2007-04775,2007/04/12,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2006-13049,2006/07/28,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2006-12331,2006/07/19,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2006-18588,2006/10/31,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2006-09625,2006/06/07,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2006-14734,2006/08/25,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2006-11924,2006/07/12,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2007-00505,2007/01/17,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2006-10762,2006/06/26,Demolition,Demolition,5105 - Day-Care,Institutional,Non-Residential,Demolition,
BP2006-10016,2006/06/14,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2006-12362,2006/07/19,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2006-17730,2006/10/16,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2006-16026,2006/09/18,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2006-08465,2006/05/19,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2006-17238,2006/10/06,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2006-08497,2006/05/19,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2006-16149,2006/09/19,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2007-02245,2007/02/27,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2006-18933,2006/11/08,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2007-05651,2007/04/26,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2006-09566,2006/06/06,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2006-13790,2006/08/10,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2006-13802,2006/08/10,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
